,x,y,z
0,4.7,0.0,0.0
1,0.8426488874308757,0.7070663706551932,0.0
2,0.25000000000000006,0.4330127018922193,0.0
3,0.08682408883346521,0.49240387650610395,0.0
4,-0.24310744873370244,1.3787308542170913,0.0
5,-0.6499999999999997,1.1258330249197703,0.0
6,-1.072462220366569,0.8999026535611552,0.0
7,-3.0070163865149064,1.0944644586421404,0.0
8,-4.2,5.143516556418883e-16,0.0
9,-4.0406782693794066,-1.4706866163003753,0.0
10,-1.8385066634855474,-1.5426902632476942,0.0
11,-0.7000000000000006,-1.2124355652982137,0.0
12,1.0785528555590005,0.5260453761468928,0.0
13,0.36466117310055296,-2.068096281325637,0.0
14,0.7000000000000002,-1.2124355652982142,0.0
15,1.761902219173649,-1.4784115022790412,0.0
16,3.8527397452222245,-1.4022825876352412,0.0
17,-0.8999999999999997,1.5588457268119895,8.0
18,-2.8343644395402183,2.3783141558401963,8.0
19,-2.4432008140433616,0.8892523726467392,8.0
20,-0.10000000000000009,-0.17320508075688767,8.0
21,0.017364817766693,-0.09848077530122082,8.0
22,1.3500000000000003,-2.338268590217984,8.0
23,2.604551106604524,-2.185477872934235,8.0
24,1.221600407021681,-0.44462618632336914,8.0
